,msoa21nm,msoa21cd,Bangladeshi,Chinese,Indian,Pakistani,Other Asian,Black African,Black Caribbean,Other Black,White And Asian,White And Black African,White And Black Caribbean,Other Mixed Ethnic Group,White British,White Irish,White Gypsy Or Irish Traveller,White Roma,Other White,Arab,Other Ethnic Group
0,Haringey 001,E02000397,1.6,1.12,2.94,0.76,2.65,6.9,4.95,1.58,1.07,1.19,1.76,2.34,28.91,2.3,0.1,0.83,29.49,0.99,8.5
1,Haringey 002,E02000398,2.09,0.52,1.25,1.33,2.68,21.24,11.35,5.34,0.51,1.6,2.6,1.9,12.7,0.68,0.19,0.47,19.4,0.64,13.53
2,Haringey 004,E02000400,1.86,1.3,2.51,0.78,2.8,10.61,4.89,2.01,1.63,1.06,1.89,2.49,32.72,2.75,0.0,0.48,22.25,1.0,6.97
3,Haringey 005,E02000401,4.37,1.33,1.78,1.28,3.45,12.39,8.55,3.03,0.73,1.66,1.81,3.12,22.34,1.86,0.13,0.32,18.49,1.47,11.9
4,Haringey 006,E02000402,3.42,0.91,1.19,0.84,3.11,16.0,10.67,2.89,0.76,1.21,2.52,2.24,19.53,1.31,0.09,0.32,18.43,1.3,13.25
5,Haringey 007,E02000403,1.6,2.18,3.01,0.44,2.65,6.06,4.05,1.22,1.22,0.81,1.24,2.66,26.44,1.92,0.07,1.45,33.08,1.18,8.72
6,Haringey 008,E02000404,2.62,2.58,2.84,1.06,2.87,9.29,6.08,1.65,0.8,1.03,2.34,2.34,20.37,1.73,0.08,0.93,28.68,1.28,11.43
7,Haringey 009,E02000405,0.56,0.68,2.24,0.73,1.59,3.6,1.62,0.53,2.73,0.57,1.19,2.53,56.74,3.23,0.0,0.09,16.64,0.29,4.43
8,Haringey 010,E02000406,2.94,2.84,2.7,0.94,2.58,7.18,7.15,2.08,1.04,1.16,2.2,2.37,24.22,1.99,0.18,1.86,25.63,1.65,9.29
9,Haringey 011,E02000407,1.95,2.17,2.26,0.85,2.72,15.03,14.05,3.25,1.74,1.14,2.84,2.64,16.77,1.35,0.16,0.89,20.03,0.78,9.38
10,Haringey 012,E02000408,1.92,1.36,1.89,0.53,2.3,19.48,10.47,3.98,0.64,0.98,2.3,2.72,17.06,1.33,0.17,0.9,19.34,1.69,10.95
11,Haringey 013,E02000409,3.19,1.45,1.9,1.14,2.61,17.82,6.74,3.12,1.06,1.19,1.52,2.56,20.68,1.62,0.07,0.35,19.88,1.57,11.54
12,Haringey 014,E02000410,0.11,1.2,1.68,0.79,2.1,1.68,1.54,0.42,2.37,0.67,1.12,2.58,53.21,2.69,0.0,0.26,22.76,0.68,4.13
13,Haringey 015,E02000411,1.61,4.39,1.99,2.09,3.3,15.51,8.31,2.88,0.92,1.14,2.31,2.54,18.65,1.39,0.03,0.72,22.43,0.81,8.98
14,Haringey 016,E02000412,2.94,2.44,2.81,1.64,3.07,12.52,6.1,2.7,1.2,0.81,1.8,2.29,21.07,1.26,0.1,1.07,25.15,1.17,9.85
15,Haringey 017,E02000413,0.59,1.53,2.46,0.99,2.18,3.22,2.25,0.88,2.69,0.98,1.67,2.77,48.29,2.84,0.01,0.13,19.76,0.76,6.0
16,Haringey 018,E02000414,2.69,1.06,2.28,0.89,2.6,11.96,8.47,2.69,1.13,1.09,2.4,2.86,23.85,1.67,0.31,0.68,23.9,0.83,8.65
17,Haringey 019,E02000415,3.41,2.46,2.82,1.01,1.93,7.37,4.71,1.46,1.26,0.88,2.28,2.5,24.5,2.03,0.11,1.27,28.52,2.35,9.15
18,Haringey 020,E02000416,1.4,0.9,2.35,0.32,2.5,7.97,5.29,1.87,1.76,1.09,1.97,2.92,39.59,3.12,0.01,0.31,19.03,0.89,6.72
19,Haringey 021,E02000417,0.2,1.53,2.44,0.58,1.54,1.97,1.85,0.41,3.1,0.89,1.08,2.43,52.33,2.75,0.02,0.53,22.11,0.26,4.0
20,Haringey 022,E02000418,0.44,0.61,2.71,0.5,1.23,2.16,2.19,0.44,2.19,0.64,1.46,2.16,61.08,3.35,0.04,0.17,14.19,0.42,4.02
21,Haringey 023,E02000419,1.7,1.37,2.79,0.86,2.69,4.95,4.08,1.21,1.85,1.16,2.59,2.31,30.67,2.45,0.18,1.09,29.12,0.67,8.25
22,Haringey 024,E02000420,2.71,1.34,1.38,0.7,3.4,12.29,7.62,2.48,1.27,0.9,2.13,2.84,23.45,2.05,0.15,0.89,23.29,0.78,10.34
23,Haringey 025,E02000421,1.82,1.76,1.07,0.61,3.09,16.12,12.68,3.36,0.87,1.08,4.71,2.98,16.71,1.09,0.06,1.98,16.8,1.42,11.79
24,Haringey 026,E02000422,3.27,0.99,1.97,0.88,3.11,12.79,7.8,2.44,0.84,0.9,2.1,2.52,23.05,2.0,0.12,1.21,21.32,1.18,11.5
25,Haringey 027,E02000423,4.1,1.49,2.64,0.61,2.38,5.68,3.56,1.25,1.74,0.72,1.59,2.68,28.53,2.22,0.3,1.8,27.34,0.96,10.43
26,Haringey 028,E02000424,0.59,0.53,1.5,0.34,1.54,5.11,4.73,1.41,2.37,1.08,2.79,2.19,50.09,3.76,0.0,0.31,16.43,0.53,4.7
27,Haringey 029,E02000425,0.99,0.59,1.79,0.4,1.27,5.49,4.66,1.29,0.32,0.47,1.42,1.56,41.51,0.78,0.07,0.56,20.41,0.32,16.1
28,Haringey 030,E02000426,0.65,1.28,4.82,0.58,2.45,2.76,2.25,0.65,2.4,0.55,1.28,3.48,48.64,2.77,0.02,0.2,18.99,0.95,5.29
29,Haringey 031,E02000427,1.54,1.0,2.13,0.86,1.9,4.68,4.27,0.95,1.57,0.71,2.11,2.97,37.07,3.12,0.0,1.15,25.29,1.18,7.53
30,Haringey 032,E02000428,1.85,0.84,2.26,0.58,1.98,13.99,6.95,2.45,1.17,0.88,1.69,2.6,25.23,2.23,0.02,1.15,21.58,0.91,11.63
31,Haringey 033,E02000429,0.29,1.12,2.46,0.28,1.87,2.03,2.52,0.72,2.64,0.57,1.15,2.48,52.65,2.76,0.0,0.15,21.24,0.65,4.42
32,Haringey 034,E02000430,0.52,1.06,1.79,0.51,1.5,2.51,2.98,0.9,2.57,0.77,1.49,2.83,52.65,3.45,0.03,0.9,18.99,0.48,4.08
33,Haringey 035,E02000431,0.51,1.22,2.4,0.41,2.52,1.9,1.16,0.48,2.35,0.65,0.94,2.82,52.13,3.2,0.02,0.39,23.47,0.36,3.06
34,Haringey 036,E02000432,0.54,0.85,1.65,1.0,1.71,4.92,4.51,1.78,1.8,1.36,1.94,2.16,47.47,3.61,0.0,0.42,18.37,0.64,5.29
35,Haringey 037,E02006794,2.21,0.6,1.27,0.68,2.45,20.06,14.06,3.51,0.62,1.18,2.81,2.52,14.69,0.97,0.23,0.4,19.25,1.06,11.43
